Province,Country,Lat,Long,Date,Confirmed,Deaths,Recovered
,Thailand,15,101,3/20/20,322,1,42
,Japan,36,138,3/20/20,963,33,191
,Singapore,1.2833,103.8333,3/20/20,385,0,124
,Nepal,28.1667,84.25,3/20/20,1,0,1
,Malaysia,2.5,112.5,3/20/20,1030,3,87
British Columbia,Canada,49.2827,-123.1207,3/20/20,271,8,4
New South Wales,Australia,-33.8688,151.2093,3/20/20,353,6,4
Victoria,Australia,-37.8136,144.9631,3/20/20,121,0,8
Queensland,Australia,-28.0167,153.4,3/20/20,184,0,8
,Cambodia,11.55,104.9167,3/20/20,51,0,1
,Sri Lanka,7,81,3/20/20,73,0,3
,Germany,51,9,3/20/20,19848,67,180
,Finland,64,26,3/20/20,450,0,10
,United Arab Emirates,24,54,3/20/20,140,2,31
,Philippines,13,122,3/20/20,230,18,8
,India,21,78,3/20/20,244,5,20
,Italy,43,12,3/20/20,47021,4032,4440
,Sweden,63,16,3/20/20,1639,16,16
,Spain,40,-4,3/20/20,20410,1043,1588
South Australia,Australia,-34.9285,138.6007,3/20/20,50,0,3
,Belgium,50.8333,4,3/20/20,2257,37,1
,Egypt,26,30,3/20/20,285,8,39
From Diamond Princess,Australia,35.4437,139.638,3/20/20,0,0,0
,Lebanon,33.8547,35.8623,3/20/20,163,4,4
,Iraq,33,44,3/20/20,208,17,49
,Oman,21,57,3/20/20,48,0,12
,Afghanistan,33,65,3/20/20,24,0,1
,Bahrain,26.0275,50.55,3/20/20,285,1,100
,Kuwait,29.5,47.75,3/20/20,159,0,18
,Algeria,28.0339,1.6596,3/20/20,90,11,32
,Croatia,45.1,15.2,3/20/20,128,1,5
,Switzerland,46.8182,8.2275,3/20/20,5294,54,15
,Austria,47.5162,14.5501,3/20/20,2388,6,9
,Israel,31,35,3/20/20,705,0,14
,Pakistan,30.3753,69.3451,3/20/20,501,3,13
,Brazil,-14.235,-51.9253,3/20/20,793,11,2
,Georgia,42.3154,43.3569,3/20/20,43,0,1
,Greece,39.0742,21.8243,3/20/20,495,6,19
,North Macedonia,41.6086,21.7453,3/20/20,67,0,1
,Norway,60.472,8.4689,3/20/20,1914,7,1
,Romania,45.9432,24.9668,3/20/20,308,0,25
,Estonia,58.5953,25.0136,3/20/20,283,0,1
,San Marino,43.9424,12.4578,3/20/20,144,14,4
,Belarus,53.7098,27.9534,3/20/20,69,0,5
,Iceland,64.9631,-19.0208,3/20/20,409,0,5
,Lithuania,55.1694,23.8813,3/20/20,49,0,1
,Mexico,23.6345,-102.5528,3/20/20,164,1,4
,New Zealand,-40.9006,174.886,3/20/20,39,0,0
,Nigeria,9.082,8.6753,3/20/20,12,0,1
Western Australia,Australia,-31.9505,115.8605,3/20/20,64,1,0
,Ireland,53.1424,-7.6921,3/20/20,683,3,5
,Luxembourg,49.8153,6.1296,3/20/20,484,4,0
,Monaco,43.7333,7.4167,3/20/20,11,0,0
,Qatar,25.3548,51.1839,3/20/20,470,0,10
,Ecuador,-1.8312,-78.1834,3/20/20,367,5,0
,Azerbaijan,40.1431,47.5769,3/20/20,44,1,6
,Armenia,40.0691,45.0382,3/20/20,136,0,1
,Dominican Republic,18.7357,-70.1627,3/20/20,72,2,0
,Indonesia,-0.7893,113.9213,3/20/20,369,32,15
,Portugal,39.3999,-8.2245,3/20/20,1020,6,5
,Andorra,42.5063,1.5218,3/20/20,75,0,1
Tasmania,Australia,-41.4545,145.9707,3/20/20,10,0,3
,Latvia,56.8796,24.6032,3/20/20,111,0,1
,Morocco,31.7917,-7.0926,3/20/20,77,3,1
,Saudi Arabia,24,45,3/20/20,344,0,8
,Senegal,14.4974,-14.4524,3/20/20,38,0,2
,Argentina,-38.4161,-63.6167,3/20/20,128,3,3
,Chile,-35.6751,-71.543,3/20/20,434,0,6
,Jordan,31.24,36.51,3/20/20,85,0,1
,Ukraine,48.3794,31.1656,3/20/20,29,3,0
,Hungary,47.1625,19.5033,3/20/20,85,3,2
Northern Territory,Australia,-12.4634,130.8456,3/20/20,3,0,0
,Liechtenstein,47.14,9.55,3/20/20,28,0,0
,Poland,51.9194,19.1451,3/20/20,425,5,1
,Tunisia,34,9,3/20/20,54,1,0
,Bosnia and Herzegovina,43.9159,17.6791,3/20/20,89,0,2
,Slovenia,46.1512,14.9955,3/20/20,341,1,0
,South Africa,-30.5595,22.9375,3/20/20,202,0,0
,Bhutan,27.5142,90.4336,3/20/20,2,0,0
,Cameroon,3.848,11.5021,3/20/20,20,0,0
,Colombia,4.5709,-74.2973,3/20/20,128,0,1
,Costa Rica,9.7489,-83.7534,3/20/20,89,1,0
,Peru,-9.19,-75.0152,3/20/20,234,3,1
,Serbia,44.0165,21.0059,3/20/20,135,1,1
,Slovakia,48.669,19.699,3/20/20,137,1,0
,Togo,8.6195,0.8248,3/20/20,9,0,1
,Malta,35.9375,14.3754,3/20/20,64,0,2
,Martinique,14.6415,-61.0242,3/20/20,32,1,0
,Bulgaria,42.7339,25.4858,3/20/20,127,3,0
,Maldives,3.2028,73.2207,3/20/20,13,0,0
,Bangladesh,23.685,90.3563,3/20/20,20,1,3
,Paraguay,-23.4425,-58.4438,3/20/20,13,0,0
Ontario,Canada,51.2538,-85.3232,3/20/20,308,2,5
Alberta,Canada,53.9333,-116.5765,3/20/20,146,1,0
